Neighbourhood,Latitude,Longitude
Nandi Bagan,22.50774000000007,88.38656000000003
Narendrapur,22.45070000000004,88.40453000000008
Narkeldanga,22.57472000000007,88.38046000000008
Natibpur,22.661080000000027,87.85724000000005
"Nawabganj, North 24 Parganas",22.808620000000076,88.79242000000005
"Netaji Nagar, Kolkata",22.570580000000064,88.34723000000008
New Alipore,22.50918000000007,88.33276000000006
New Barrackpore,22.686460000000068,88.44185000000004
New Garia,22.470360000000028,88.39335000000005
"New Town, Kolkata",22.524487663077274,88.32762519622278
Nibra,22.47108000000003,88.38043000000005
Nimta,22.669500000000028,88.40701000000007
"Nischintapur, Budge Budge",22.460450000000037,88.17115000000007
"Noapara, India",22.55118300000001,88.38357300000001
"Noapara, West Bengal",22.570530000000076,88.37124000000006
North Barrackpur,22.77639000000005,88.34656000000007
North Dumdum,22.685200000000066,88.42188000000004
North Kolkata,22.50329000000005,88.36640000000006
Nungi,22.506680000000074,88.21724000000006
"Palta, North 24 Parganas",22.808620000000076,88.79242000000005
Panchasayar,22.479880000000037,88.39566000000008
Panchpara,22.551450000000045,88.26768000000004
Panchpota,22.461930000000052,88.41665000000006
Panihati,22.696340000000077,88.39155000000005
Park Circus,22.54206000000005,88.37227000000007
Parnasree Pally,22.510150000000067,88.30548000000005
Patharberia,22.039540000000045,88.31224000000003
Pathuriaghata,22.58976000000007,88.35704000000004
Patulia,22.475310000000036,88.38842000000005
Phoolbagan,22.62432000000007,88.38009000000005
Picnic Garden,22.52657000000005,88.36475000000007
Poali,22.570530000000076,88.37124000000006
Poddar Nagar,22.491850000000056,88.37279000000007
Podrah,22.570530000000076,88.37124000000006
"Posta, Burrabazar",22.579650000000072,88.35257000000007
Pujali,22.491383196779964,88.38810975437127
Rabindra Sarobar,22.509250000000065,88.35432000000009
"Radhanagar, Sonarpur",22.434790000000078,88.45049000000006
Raghudebbati,22.528670000000034,88.19078000000007
Raghunathpur (PS-Dankuni),23.004950000000065,88.40038000000004
"Rahara, Kolkata",22.570530000000076,88.37124000000006
Raigachhi,22.637330000000077,88.47477000000003
Rajabagan,22.55162000000007,88.27429000000006
"Rajabazar, Kolkata",22.576690000000042,88.37340000000006
Rajarhat,22.615327203471725,88.43227627033129
